id	created_at	favourite_count	retweet_count	length
881273362454118400	1498943317	119035	30450	69
881271809433374721	1498942947	87263	17999	124
881271748280365056	1498942932	126932	29331	143
881265792700035073	1498941512	61481	11248	140
881256428626956288	1498939280	49443	11325	115
881140479454310401	1498911635	99176	23780	133
881138485905772549	1498911160	147619	40621	118
881137079958241280	1498910825	108204	31782	123
881135264441257984	1498910392	78216	20027	144
881131368520056832	1498909463	77295	16048	131
880919871353217024	1498859038	84097	19352	140
880892632142143490	1498852544	71279	17547	140
880853246126022656	1498843153	56488	12248	140
880771685460344832	1498823708	81517	19031	140
880739852286918656	1498816118	117262	31995	140
880737163247267840	1498815477	91588	24508	137
880602793341591552	1498783441	90712	19404	134
880564232588107779	1498774247	76265	18552	144
880563788705148928	1498774141	54464	11964	136
880559961855729664	1498773229	56379	12505	100
880553561008078848	1498771703	92411	20335	110
880540637358981120	1498768622	99226	22804	69
880534684479897600	1498767202	58449	14501	94
880508977590697984	1498761073	29389	4957	127
880489358431850496	1498756396	63967	15138	109
880469342835666944	1498751624	73995	19697	143
880410114456465411	1498737503	78214	20503	137
880408582310776832	1498737137	81524	21408	140
880402366373269504	1498735655	82148	17782	135
880242238000955392	1498697478	81365	21074	143
880192282254872576	1498685567	54469	11626	140
880175585418465284	1498681587	50085	16294	104
880172859108331520	1498680937	38968	8406	140
880170602690215936	1498680399	73610	13877	140
880158771762286592	1498677578	44668	10797	140
880049704620494848	1498651574	53425	13234	134
880018828603912194	1498644213	0	12472	140
880017678978736129	1498643939	89447	19044	144
880015261004435456	1498643362	83315	20289	138
879828637733793793	1498598868	90372	17590	131
879827411008974852	1498598575	77378	15294	138
879682547235651584	1498564037	109590	32888	148
879678356450676736	1498563038	118652	32439	138
879663665645056000	1498559535	0	6799	140
879661481360588800	1498559015	0	8347	140
879660494218547202	1498558779	0	6898	116
879655772111679488	1498557653	0	8184	103
879655576803913728	1498557607	0	6805	91
879652031799205888	1498556762	0	11194	60
879648931172556802	1498556022	121686	33380	140
879527520957325314	1498527076	108212	23850	144
879525817361068032	1498526670	72014	18166	139
879512164553420809	1498523415	0	11828	140
879405223399350272	1498497918	137108	35208	91
879403082114846722	1498497407	0	9724	129
879402984756711425	1498497384	0	9537	140
879326984794517507	1498479264	70371	15290	139
879324620159160322	1498478701	85577	19278	144
879323238425395200	1498478371	74797	19039	140
879320905608044544	1498477815	70122	15995	134
879317636164841474	1498477036	90505	24925	140
879315860178993152	1498476612	81657	20358	140
878946025662296064	1498388437	104866	26548	137
878725385235701761	1498335832	159026	45825	25
878717095701336064	1498333856	85127	19306	130
878715504063643648	1498333476	86534	22838	138
878711517537083392	1498332526	87183	21220	138
878596457741287424	1498305093	79826	20626	144
878413313188802560	1498261428	101647	30367	132
878365166538285057	1498249949	48822	12161	42
878341007103987712	1498244189	72156	16576	139
878200921980891136	1498210790	119138	25244	140
878192867847675904	1498208870	48604	6519	33
878085811941539849	1498183346	0	4671	112
878085201494147076	1498183200	0	4268	83
878078560715538432	1498181617	53481	10051	147
878031806506848256	1498170470	55488	11745	77
878027873650475008	1498169532	60542	13008	93
878019881353871360	1498167627	54489	11040	122
878013639613186049	1498166139	139748	43282	140
878006964072189952	1498164547	50728	12791	140
877932956458795008	1498146902	54459	12943	138
877932907137966080	1498146890	62244	14305	134
877892883352702976	1498137348	99031	26242	140
877891129194102785	1498136930	91348	24860	139
877889199353077760	1498136470	73512	19457	140
877879361130688512	1498134124	93764	26072	132
877878375045447680	1498133889	72698	18896	143
877846483021602816	1498126285	66529	10054	48
877674738364989440	1498085338	50463	8713	139
877663648713330688	1498082694	60643	8151	49
877474368661618688	1498037566	115023	27849	138
877372660455546880	1498013317	128616	34658	140
877363446530007040	1498011120	80648	15470	137
877355739383287808	1498009283	116738	24763	107
877353797760286720	1498008820	89681	18221	100
877350761742688256	1498008096	68368	10005	37
877341043171241984	1498005779	46395	9017	138
877234140483121152	1497980291	81230	18036	144
877204691851108353	1497973270	62366	14395	131
877104262463008771	1497949326	80277	20981	140
877101828143542272	1497948746	0	11774	140
877101173412638720	1497948590	68914	18948	137
876964061027684352	1497915900	80375	20410	139
876952186143506432	1497913068	0	5887	140
876951845880688644	1497912987	0	8621	81
876948721468141573	1497912242	69206	17022	139
876921011668738050	1497905636	38158	7038	135
876901304207069185	1497900937	42701	10565	114
876900944444837890	1497900851	54946	16425	90
876899250071904256	1497900447	39433	8137	76
876899176562524160	1497900430	52376	12841	120
876896144944762880	1497899707	54919	12295	134
876778344636928000	1497871621	83094	22637	140
876558248631042049	1497819146	0	7916	59
876558049565188096	1497819099	106457	17784	136
876552203187736577	1497817705	0	17760	140
876546864669237253	1497816432	0	14272	144
876394578777174021	1497780124	102331	22770	140
876390681056600066	1497779195	87207	17785	137
876388733607694336	1497778731	99929	20947	140
876079184417882116	1497704928	84037	20025	140
